canddt_name_2019,canddt_sex_2019,canddt_age_2019,canddt_category_2019
Dr. M M Thromwa Konyak,M,40,ST
Dr. M VENKATASWAMY,M,64,SC
DR. M. P. DARAKESHWARAIAH,M,60,SC
Dr. Mahendra Nath Pandey,M,62,GEN
Dr. Mahesh Prakashrao Talegaonkar,M,41,GEN
Dr. MAHESH SHARMA,M,59,GEN
DR. MAMTAZ SANGHAMITA,F,73,GEN
Dr. Manish Dattataray Wadje,M,44,GEN
DR. MANISHA BANGAR,F,49,GEN
Dr. Meer Layaq Hussain,M,58,GEN
DR. MEHMOOD KHAN,M,63,GEN
Dr. Mohammad Jawed,M,54,GEN
DR. MOHAMMED SADIQUE KP,M,64,ST
Dr. MRIGANKA MAHATO,M,56,GEN
DR. MRITUNJAY KUMAR JHA,M,41,GEN
Dr. Mukesh Semwal,M,47,GEN
DR. MUKUL SANGMA,M,53,ST
Dr. MUNJAPARA MAHENDRABHAI,M,50,GEN
Dr. N. T. SENGAL,M,67,SC
Dr. NAMDEO DALLUJI USENDI,M,48,ST
Dr. NARAYANASAMY KESAVAN,M,29,GEN
Dr. Natawadkar Suhas Jayant,M,58,ST
Dr. Neeraj,M,51,GEN
Dr. Nitin Udal Bhat,M,33,GEN
DR. NOORUDDIN NIZAM ANSARI,M,44,GEN
DR. P.K.BIJU,M,44,SC
Dr. Paramjeet Singh Ranu,M,52,GEN
Dr. PARTHASARATHI VALMIKI,M,48,GEN
Dr. Pawan Kumar Pandey,M,43,GEN
Dr. Philip Mariyan,M,51,GEN
Dr. Purvi Verma,F,29,GEN
Dr. R. GOVINDASAMY,M,69,GEN
DR. RAHUL VASUDEVBHAI VYAS,M,39,GEN
Dr. Raies Khan,M,46,GEN
Dr. RAJ KUMAR CHABBEWAL,M,49,SC
Dr. Rajeev Pandey,M,40,GEN
Dr. Rajendra Bhaskarrav Shingne,M,58,GEN
Dr. Rajendra Namdev Kavthekar,M,43,SC
DR. RAJENDRA TRIPATHI,M,52,GEN
DR. RAJESH KUMAR RATNAKAR,M,42,SC
Dr. RAJESH KUMAR SINGH,M,47,GEN
Dr. Rajesh Mehandia,M,44,SC
Dr. Rajiv Agrawal,M,54,GEN
Dr. RAKESH PRATAP,M,62,GEN
Dr. Ramendra Singh Bhandari,M,40,GEN
Dr. RAMESH BABU. V.M.,M,44,SC
Dr. RAMESHKUMAR BABURAOJI GAJBE,M,66,ST
Dr. Ramlakhan Chaurasiya,M,56,GEN
Dr. RAMLAL MOHBARSHA,M,66,SC
DR. RANDHIR SINGH RUHAL,M,61,GEN
DR. RATNA DE (NAG),F,70,GEN
Dr. RAVJOT SINGH,M,42,SC
Dr. S. Suresh Babu,M,42,GEN
DR. S.Q.R. ILYAS,M,65,GEN
Dr. S.T. HASAN,M,60,GEN
DR. SAGAR SOLANKI,M,38,SC
Dr. SALEEM AHMAD,M,59,GEN
DR. SANDEEP VASANTRAO KADWE,M,50,GEN
Dr. Sanghmitra Maurya,F,34,GEN
DR. SANJAY JAISWAL,M,54,GEN
Dr. SANJAY SINH,M,67,GEN
Dr. Sanjiv Guleria,M,58,GEN
DR. SARAT CHANDRA HALDAR,M,42,SC
Dr. SATYAPAL SINGH,M,63,GEN
DR. SHAFIQUR REHMAN BARQ,M,86,GEN
DR. SHAKEEL AHMAD,M,63,GEN
Dr. Sharadchandra Wankhede,M,65,GEN
Dr. SHASHI THAROOR,M,63,GEN
Dr. SHEKH SIRAJ BABA,M,48,GEN
Dr. Shivaji Pandharinath Oman,M,62,SC
Dr. SHIVAKUMARA,M,42,SC
Dr. Shree Bhagwan Singh,M,67,GEN
Dr. SHRIKANT EKNATH SHINDE,M,32,GEN
DR. SHRILAL KISKU,M,60,ST
Dr. Sita Ram Rajput,M,40,GEN
Dr. SOMNATH ALIAS BALASHAHEB ARJUN POL,M,47,SC
DR. SUBHAS SARKAR,M,65,GEN
Dr. Sudarshan Lohar,M,72,ST
Dr. SUJAY RADHAKRISHNA VIKHEPATIL,M,37,GEN
Dr. Sukhdeep Kaur,F,40,GEN
Dr. Sunil Sampat Chawale,M,50,GEN
DR. SUNITA DEVANAND CHAVAN,F,42,SC
Dr. Suresh Abhiman Gawai,M,50,SC
Dr. SURESH PRASAD TRIPATHI,M,62,GEN
Dr. Swarn Singh,M,69,SC
Dr. Swaroop Singh Rana,M,58,GEN
DR. TAMILISAI SOUNDARARAJAN,F,57,GEN
DR. TANMAY MANDAL,M,54,GEN
Dr. TEJPAL KATEWA,M,31,GEN
DR. TITUS BHENGRA,M,60,GEN
Dr. U.P. Shivananda,M,68,GEN
DR. UDAY RATRE,M,52,SC
DR. UMESH G JADHAV,M,60,SC
Dr. Vasant Raghunath Munde,M,72,GEN
DR. VEENA GHANEKAR Rtd. IAS,F,63,GEN
Dr. Vijaya Rajesh Nandurkar,F,37,GEN
DR. VINOD KASHIRAM BADOLE,M,34,SC
DR. VIRENDRA CHOUDHARY,M,52,GEN
DR. YASHWANT SINGH,M,56,SC
Dr. Yogita Bajpai,F,49,GEN
Dr.A.CHELLAKUMAR,M,58,GEN
Dr.A.NARESH,M,29,SC
Dr.Beesetti Venkata Satyavathi,F,52,GEN
DR.BHARATIBEN DHIRUBHAI SHIYAL,F,55,GEN
"Dr.DHANUSHKODI, M.",M,53,GEN
Dr.E.SUBAYA (A) ESAKKI SUBAYA,M,55,GEN
DR.Elangovan. V,M,70,GEN
Dr.I.M.S. Manivan,M,44,GEN
Dr.J.JAYAVARDHAN,M,31,GEN
DR.JAYAN.C.KUTHANUR,M,40,SC
DR.JOHN BASCO PHILIPS,M,47,GEN
DR.K. PADMARAJAN,M,60,GEN
Dr.K.C.PATEL,M,69,ST
Dr.K.Jayakumar,M,69,SC
Dr.KARTHIKEYAN. R,M,31,GEN
Dr.KRISHNASAMY.K,M,66,SC
Dr.M.A.S. SUBRAMANIAN,M,72,GEN
Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),M,46,SC
Dr.P.Venugopal,M,66,SC
"Dr.PAARIVENDHAR, T. R",M,77,GEN
Dr.SADHUNAVAR,M,69,GEN
Dr.Siddharthkumar Digambarrao Suryawanshi,M,40,SC
Dr.Sreekumar.J,M,48,GEN
Dr.T.M.S.SADHU MUTHU KRISHNAN ERAJENDRAN,M,57,SC
Dr.Ulhas Vasudeo Patil,M,59,GEN
DR.VAIJNATH SITARAM PHAD,M,62,GEN
Dr.Yogendra Vitthal Kolte,M,41,GEN
Dr|| SRIDHARA UDUPA,M,67,GEN
Dropadi Verma,F,59,SC
DUDH KUMAR MONDAL,M,63,GEN
DUJ RAM SAHU,M,47,GEN
DULAL CH. HEMBRAM,M,61,ST
DULAL CHANDRA GOSWAMI,M,51,GEN
DULESHWAR SAW,M,40,GEN
Dundappa Kundappa Shrikant Sir,M,68,SC
Dundasi Abdulrahiman Mahammad Hanif,M,49,GEN
DUNUKU VELADRI,M,57,GEN
Durai Benjamin,M,47,GEN
DURAI. S.,M,38,GEN
DURBADAL DAS,M,43,SC
Durga Chandra Pingua,M,31,ST
DURGA DAS (D.D.) UIKEY,M,55,ST
Durga Lal Regar,M,60,SC
DURGA MOSI,F,30,ST
DURGADAS HAJRA,M,62,GEN
Durgam. Rajanna,M,27,SC
DURGAMPUDI RAMIREDDY,M,66,GEN
DURGAPRASAD THAKUR,M,43,ST
DURGAPRASAD. GUNTU,M,51,GEN
DURGESH NANDAN SINGH alias DURGESH YADAV,M,42,GEN
Durgesh Singh,M,43,GEN
DURGESH SINGH CHAUHAN,M,40,GEN
DURVASA REDDY PAKALA,M,38,GEN
DUSHYANT CHAUTALA,M,31,GEN
DUSHYANT SINGH,M,48,GEN
DUTT PRIYA SUNIL,F,52,GEN
DUVVADA SRINIVAS,M,52,GEN
Dwaraka Prasad Lala,M,68,GEN
Dwarka Prasad Maheshwara,M,36,ST
E. KARUNANITHI,M,53,SC
E. SAI REDDY,M,30,GEN
E. Shivadurgavaraprasad Reddy,M,28,GEN
E. T. Mohammed Basheer,M,72,GEN
E.DHANASEKARAN,M,51,GEN
E.V. Prakash,M,39,GEN
Easudoss. S,M,52,GEN
Ebeneezer S,M,67,GEN
EBENEZER. J,M,32,GEN
EG. RAMFAL MANDREY,M,40,SC
Ehsan Ahmed,M,38,GEN
Eknath M. Gaikwad,M,79,GEN
EKUS DHAN,M,65,ST
"ELANGO, S.",M,34,GEN
Elangovan M,M,35,SC
"ELANGOVAN, E.V.K.S.",M,70,GEN
ELAVARASAN A,M,55,SC
ELETI LAXMA REDDY,M,41,GEN
ELETI MALLA REDDY,M,40,GEN
ELETI MOHAN REDDY,M,36,GEN
ELETI SANJEEV REDDY,M,33,GEN
ELLURI. BHUPAL.,M,39,SC
ELUMALAI K,M,37,SC
ELUMALAI S,M,37,GEN
ELUMALAI V,M,63,GEN
ELVIS GOMES,M,56,GEN
Engineer Ajeet Sonkar,M,34,SC
ENGINEER INDRASEN MOGRE,M,53,GEN
ENGINEER NAVID BETAB,M,41,GEN
ENGINEER PRAVEEN KHANDELWAL,M,42,ST
ENGINEER RASHID,M,54,GEN
ENGR. RUPRAM SINGH,M,63,GEN
ENOSE. M,M,64,GEN
ENUGU MALLESH,M,60,GEN
ENUGU RAJESHWER,M,34,GEN
ENUGU SHANKER,M,35,GEN
Er. BALDEV RAJ KATNA,M,64,GEN
ER. DEEPCHAND AHIRWAL,M,53,SC
Er. Ghulam Mustafa Chowdhary,M,37,ST
Er. Jyoti Prakash Tamta,M,65,SC
ER. KEDARNATH VISHWAKARMA,M,64,GEN
Er. Navneet Agarwal,M,46,GEN
Er. Ramchandra Mayyappa Ghutukade,M,27,GEN
Er. SANJIV BABANRAO BHOR,M,44,GEN
"Er.PRADEEP GANESAN, M.P.",M,39,GEN
Erugurala Bhagyalaxmi,F,27,SC
ESAKKIMUTHU. N,M,37,SC
ESHWAR B. KHANDRE,M,57,GEN
ESSAKKIAMMAL E,F,38,SC
ESWARA,M,65,SC
ESWARAN,M,33,SC
"ESWARAN, R.",M,44,GEN
FAGGAN SINGH KULASTE,M,59,ST
Faqir Chand,M,69,GEN
FARHA DEEBA,F,38,GEN
FARHA NAAZ KHAN,F,33,GEN
FARID MOHAMMAD QURAISHI,M,37,GEN
FARMER K.JAYARAMAN,M,43,GEN
Farooq Abdullah,M,83,GEN
FARUK AHMED BHUYAN,M,40,GEN
FARUKH ISMAIL SHAIKH,M,36,GEN
Fateh Mohd. Mansuri Shaikh,M,64,GEN
Fatte Bahadur Singh Markam,M,63,ST
FEROZ ABDURRAHIM SHAIKH,M,46,GEN
Feroz Ali,M,59,GEN
Feroze Varun Gandhi,M,39,GEN
FIRDOUS AHMED BAWANI,M,42,GEN
FIROJ AHAMAD,M,40,GEN
FIROZ KHAN,M,37,GEN
FOJI JAI KAWAR TYAGI (DIKSHIT),M,64,GEN
Fool Dulari,F,39,SC
Francis Binny Jose,M,39,GEN
FREDY JACKSON PEREIRA,M,30,GEN
Fulare Suresh Asaram,M,38,GEN
FULCHAND MANDAL,M,52,SC
Fulchand Patidar,M,38,GEN
Furkan Ali Advocate,M,56,GEN
G . KISHAN REDDY,M,58,GEN
G . LAXMINARSIMHA RAO,M,49,GEN
G M SIDDESHWAR,M,67,GEN
G S RAJU,M,51,GEN
G Sanjeeva Kumar,M,38,SC
G VENKATESH BHOVI,M,58,SC
G. BORRANNA,M,60,SC
G. C. GANGAREDDY,M,52,GEN
G. CHIKKANARAYANA,M,43,SC
G. KESAV YADAV,M,56,GEN
G. LALITHA,F,56,GEN
G. MANJUNATHA,M,47,SC
G. MOORTHY,M,36,GEN
G. NAGENDRA,M,44,SC
G. NARSAIAH,M,54,SC
G. RAMESH,M,45,GEN
G. Ravi Kumar Yadav,M,31,GEN
G. S. BASAVARAJ,M,78,GEN
G. SUJITH,M,30,GEN
G. TIMMARAJU,M,44,SC
G. V. N. BASAVA RAO,M,26,GEN
G. VIJAY,M,58,SC
G.Arulraj,M,32,SC
G.D. RAJAGOPAL,M,49,SC
G.DEVASAHAYAM,M,40,GEN
G.DHANASEKARAN,M,48,GEN
G.George,M,55,SC
G.M. MAHADEVA,M,42,SC
G.S. GANESAN YADAV,M,41,GEN
G.SRINIVASAN,M,42,GEN
GABRIEL JAMES FERNANDO,M,56,GEN
GADDALA VENU,M,28,SC
Gaddala Vinay Kumar,M,62,SC
GADDAM GANGAREDDY,M,57,GEN
GADDAM MOHAN,M,34,GEN
GADDAM PURUSHOTHAM,M,29,GEN
GADDAM RAJENDHARREDDY,M,32,GEN
GADDAM RAJESHWAR,M,37,GEN
GADDAM THIRUPATHI,M,68,GEN
GADDAM VIJAY,M,34,SC
GADDE HARI BABU,M,40,SC
Gaddigoudar Parvatagouda Chandanagouda,M,68,GEN
Gade Vinod Milind,M,41,SC
Gadhave Pravin Rameshwarrao,M,34,GEN
GADIDAMA RANGANAYAKULU,M,43,SC
GADKOLE RAMESH,M,37,GEN
GAGANDEEP KUMAR,M,37,GEN
Gajabhinkar Bansilal,M,61,GEN
GAJANAN AMRUT TOKANEKAR,M,51,GEN
Gajanan Haribhau Bhalerao,M,36,GEN
Gajanan Kirtikar,M,75,GEN
Gajanan Tukaram Sonkamble,M,33,GEN
Gajanan Uttam Shantabai,M,38,GEN
Gajbhiye Pramod Hiraman,M,47,SC
Gajendra Parshuram Turbadkar,M,50,GEN
Gajendra Singh Shekhawat,M,51,GEN
GAJENDRA UMRAO SINGH PATEL,M,43,ST
GAJJALA SAI PRASAD,M,39,GEN
Galeb khan Jabbar khan Pathan,M,49,GEN
GAMIT KAUSHIKBHAI VIRENDRABHAI,M,43,ST
GAMIT MOHANBHAI BABUBHAI,M,74,ST
GAMIT SURESHBHAI BABUBHAI,M,53,ST
GAMPALA SOMASUNDARAM,M,76,GEN
GANAPATHY N,M,55,SC
GANDHESHWAR MOCHAHARI,M,47,ST
GANDHI DHANEKULA,M,70,GEN
"GANESAN, M.",M,28,GEN
Ganesan. P,M,35,GEN
GANESH,M,58,SC
Ganesh Chaudhari,M,46,SC
GANESH DAS,M,57,GEN
Ganesh H,M,40,GEN
Ganesh Kisanrao Lade,M,42,GEN
GANESH M DADDIKAR,M,42,GEN
Ganesh Meena,M,27,ST
Ganesh Navnathrao Karande,M,33,GEN
Ganesh Rawat,M,46,SC
Ganesh Shankar Chandode,M,30,SC
GANESH SINGH,M,56,GEN
Ganesh. R,M,51,GEN
GANESHA B A,M,27,GEN
GANESHA MOORTHY. A,M,36,SC
GANESHAMOORTHY M,M,58,GEN
GANESHAMURTHI A,M,72,GEN
GANESHAMURTHY A C,M,58,GEN
"GANESHKUMAR, S.",M,46,GEN
GANGA KEBAT,M,49,GEN
Ganga Prasad Yadav,M,36,GEN
GANGA REDDY M,M,46,GEN
Gangadhar Badiger,M,37,GEN
Gangadhar Nathu Yadav,M,43,SC
Gangaram,M,54,SC
GANGARAPU THIRUPATHI,M,45,SC
GANGASARAM RAJA REDDY,M,45,GEN
GANGULAIAH VAMPURU.,M,49,ST
GANJI PURNIMA,F,36,GEN
GANNU MALLAYYA,M,70,GEN
GANPAT MACHINDRA MORE,M,51,SC
Ganpati Jha,M,53,GEN
Ganta Pentanna,M,47,ST
GANTI HARISH MADHUR (BALAYOGI),M,28,SC
GANVIT JAYENDRABHAI LAXMANBHAI,M,39,ST
GARGI CHATTERJEE,F,47,GEN
Garib,M,49,SC
GARIB SINGH,M,58,GEN
GARLAPATI JITHENDRA KUMAR,M,61,GEN
GAURANGBHAI RAMESHBHAI PATEL,M,35,ST
GAURAV BHATIA,M,31,SC
Gaurav Damodar Surwade,M,35,SC
Gaurav Gogoi,M,36,GEN
Gaurav Kumar,M,29,GEN
Gaurav Singh,M,26,GEN
Gaurishankar,M,48,GEN
GAUTAM,M,25,SC
Gautam Baburao Waghchaure,M,56,GEN
GAUTAM GAMBHIR,M,37,GEN
GAUTAM KUMAR,M,29,GEN
GAUTAM KUMAR SHAW,M,40,GEN
Gautam Mitra,M,61,GEN
GAUTAM NAGDAVANE,M,51,SC
GAUTAM RAY,M,39,SC
GAUTAM SINGH BISHT,M,46,GEN
Gautam Sureshkumar Mistrilal,M,47,SC
Gautam Wasnik,M,44,SC
Gautham Sigamani Pon,M,44,GEN
Gavit Jeeva Pandu,M,70,ST
GAYA RAM,M,66,SC
Gayatri Prasad,M,40,GEN
GEDDAM DAVID NELSON BABU,M,60,GEN
GEETA,F,40,SC
Geeta Devi,F,39,SC
GEETA KORA,F,35,ST
GEETA RANI KUSHWAH,F,54,GEN
GEETANJALI SINGH,F,25,GEN
Geetawali Er. P.S. Ahirwar,F,51,SC
GEETHALAKSHMI.V.R.,F,51,GEN
GELLA NAGAMALLI,F,34,SC
GEORGE BANGARI,M,46,SC
George Tirkey,M,60,ST
GERGORY TRIKEY,M,36,ST
"GERMANUS, S.",M,74,GEN
GH. MOHD. WANI,M,45,GEN
Ghadge Balasaheb Jaysing,M,59,GEN
Ghag Sanjay Arjun,M,47,GEN
GHANSHYAM CHAND THAKUR,M,63,GEN
GHANSHYAM JURRI,M,44,ST
GHANSHYAM MEGHWAL,M,39,SC
GHANSHYAM SINGH TAWAR,M,51,ST
GHANSHYAM SINGH YADAV,M,71,SC
GHANSHYAM TIWARI,M,39,GEN
Ghare Mohan Damodar,M,52,GEN
GHULAM AHMAD MIR,M,60,GEN
GHURAN RAM,M,51,SC
Girdhar Gopal Tripathi,M,77,GEN
Giri Kummari,M,37,GEN
Giridhar Sapera,M,38,SC
GIRIDHARI YADAV,M,58,GEN
GIRIJESH SINGH SENGER,M,49,GEN
GIRIRAJ KISHOR (RAJU) PODDAR,M,58,GEN
Giriraj Singh,M,66,GEN
Girish Bhalchandra Bapat,M,68,GEN
GIRISH CHANDRA,M,55,SC
Girish Narain Pande,M,64,GEN
GIRISH PASI,M,52,SC
GIRISH RAYA CHODANKAR,M,52,GEN
GIRWAL DINESH,M,38,ST
Gitaben Patel,F,38,GEN
GLG TANDEKAR,M,43,SC
GNANASEKAR A,M,47,GEN
GNANATHIRAVIAM S,M,54,GEN
GOBINDA CHANDRA ROY,M,61,SC
Goda Sri Ramulu,M,54,GEN
Godam Nagesh,M,54,ST
GODDETI. MADHAVI,F,26,ST
Godfrey Noble,M,49,GEN
Godisella Nagamani,F,28,SC
Godse Hemant Tukaram,M,48,GEN
GODUGU SATYANARAYANA,M,40,SC
Godwin Shadrach S R,M,36,GEN
GOGULA PULAKUNTA JAYANTH,M,61,GEN
GOHIL RINKU,F,32,GEN
GOKINAPALLI VENKATESWAR RAO,M,61,GEN
GOKUL SINGH,M,42,ST
GOLLA BABURAO,M,46,SC
GOLLU KRISHNA,M,55,GEN
GOLTAR BHAGVANBHAI MAIYABHAI,M,69,GEN
GOMATHY,F,40,GEN
GOMATI DHARAMPAL KATARIA,F,52,SC
GOMATI SAI,F,43,ST
Gona Purushottam Reddy,M,40,GEN
GOPAGANI SHANKARA RAO,M,61,GEN
GOPAKUMAR OORUPOIKA,M,44,SC
GOPAL BALAWANTRAO DESAI,M,60,GEN
Gopal Dhakad,M,38,GEN
Gopal Jee Thakur,M,49,GEN
GOPAL M,M,32,SC
GOPAL MANI,M,59,GEN
GOPAL NASKAR,M,45,GEN
Gopal Prasad,M,46,GEN
GOPAL PRASAD SAHU,M,74,GEN
GOPAL RAM KHARWAR,M,62,ST
GOPAL RAUT,M,26,GEN
Gopal Shetty,M,65,GEN
Gopal Singh Shekhawat,M,68,GEN
Gopal Swaroop Gandhi,M,56,GEN
GOPALAKRISHNAN M,M,41,GEN
GOPALAKRISHNAN S,M,68,GEN
Gopalakrishnan. V,M,30,GEN
GOPALKUMAR GANESHU KASHYAP,M,38,GEN
Gopichand Kundlik Padalkar,M,36,GEN
GOPIN SOREN,M,56,ST
GOPOJU RAMESH BABU,M,42,SC
GORAKH RAM,M,48,SC
Gorakhram Nishad,M,55,GEN
Gore Netaji Nagnathrao,M,62,GEN
GOSKULA MAHESH BABU,M,26,GEN
GOTTUMUKKALA SHIVAJI,M,48,SC
GOUR CHANDRA (AKHAN) HEMBRAM,M,47,ST
GOUR CHANDRA MAJUMDER,M,51,GEN
GOURANGA CHATTERJEE,M,59,GEN
GOVIND (BHAIYA) RAMRAO DESHMUKH PEDGAONKAR,M,37,GEN
GOVIND SINGH,M,51,GEN
Govindan B Alinthazhe,M,41,ST
"GOVINDAN, A.",M,54,GEN
GOVINDAN. P,M,59,SC
GOVINDARAJ. L.,M,39,GEN
Govindasamy A,M,54,GEN
GOVINDBHAI LAXMANBHAI RATHOD,M,62,SC
GUDDAPPA,M,55,GEN
GUDDI KINNAR,THIRD,37,GEN
GUDIVAKA RAMANJANEYULU (ANJI BABU),M,35,GEN
GUGAN SINGH,M,70,SC
GUGULOTHU RAMESH,M,32,ST
GUHARAM AJGALLEY,M,52,SC
Gujjula Eswaraiah,M,50,GEN
GUJJULA RAMESH,M,35,GEN
Gulab Sehlot,M,68,GEN
Gulab Singh,M,50,SC
GULAB SINGH (VIVEK),M,48,ST
GULAB YADAV,M,51,GEN
Gulabrao Baburao Deokar,M,63,GEN
GULSINGH RAMSINGH KAWACHE,M,61,ST
Gulzar Singh Ranike,M,61,SC
GUMAN SINGH,M,59,ST
GUMAN SINGH DAMOR,M,62,ST
Guman Singh Poya,M,34,ST
GUNASINGH,M,47,GEN
GUNDETI SRINIVAS,M,31,GEN
Gundlakunta Sreeramulu,M,42,GEN
Gunwant Deopare,M,47,SC
GUR PRASAD,M,69,SC
GURADI SRINIVAS,M,45,GEN
GURBACHAN SINGH,M,43,SC
Gurbinder Singh Sonu,M,34,SC
Gurcharan Singh,M,34,GEN
GURCHARAN SINGH MACHHIWARA,M,44,SC
GURJEET SINGH,M,37,SC
GURJEET SINGH AUJLA,M,46,GEN
GURJIT SINGH,M,33,SC
Gurmail Singh,M,46,SC
GURMAIL SINGH,M,41,SC
Gurmeet Singh Insa,M,49,SC
Gurnam Singh,M,63,SC
GURNAM SINGH BHIKHI,M,49,GEN
Gurram Papi Reddy,M,43,GEN
Gursagar Singh,M,39,GEN
Gursewak Singh,M,58,GEN
GURU DADA LOKESH,M,65,GEN
GURU GOKUL CHAND RASHTRAWADI,M,66,SC
"GURU, K.",M,54,GEN
GURUBASAVA. P . RABAKAVI,M,25,SC
GURUGUBILLI RAMBABU,M,52,GEN
GURULINGAIAH,M,37,SC
Gurupal Singh,M,50,SC
GURUSAMY P,M,51,SC
GURUVIAH K,M,61,SC
GYANESHWAR GAJBHIYE,M,45,SC
Gyani Jaiswal,M,35,GEN
H B MANJAPPA,M,51,GEN
H ESHWARAPPA,M,65,GEN
H M CHANDREGOWDA,M,65,GEN
H. D. DEVEGOWDA,M,86,GEN
H. SURESH POOJARY,M,47,GEN
H. THOMAS,M,47,GEN
H.NARAYANA,M,59,GEN
H.RAJA,M,61,GEN
H.T. CHIKKARAJU,M,52,GEN
HABEEB MOHAMED. U,M,65,GEN
Habib Gayas Shaikh,M,53,GEN
Habibur Rehman,M,59,GEN
HAFIZ ALI,M,42,GEN
HAFIZ BURHANUDDIN,M,57,GEN
Haji Faheem Siddiqui,M,65,GEN
HAJI FAROOQ AHMAD MIR,M,55,GEN
HAJI FAZLUR REHMAN,M,67,GEN
HAJI MOHAMMAD YAQOOB,M,60,GEN
HAJI MUSTAK ANSARI,M,65,GEN
HAJI SK ABDUL ISTAR,M,51,GEN
HALDAR PARESH,M,58,SC
HALPATI RAJESHBHAI BHANABHAI,M,35,ST
HAMDULLAH SAYEED,M,36,ST
Hamir kalidas Vinjuda,M,65,GEN
HAMSA DEVINENI,F,33,GEN
HANEEF,M,48,GEN
Haneef Khan,M,65,GEN
Hangkhanpau Taithul,M,55,ST
HANIFBHAI KAYABHAI KATIYA,M,54,GEN
HANOMAN PRASAD MISHRA,M,40,GEN
HANS KUMAR,M,38,GEN
HANS RAJ GOLDEN,M,54,GEN
HANS RAJ HANS,M,57,SC
HANUMAN BENIWAL,M,47,GEN
HANUMANRAM,M,27,GEN
HANUMANT SINGH,M,37,GEN
HANUMANTHAPPA.D.KABBAR,M,35,SC
HANUR NAGARAJU,M,49,SC
Happy Singh,M,28,GEN
HARBALWINDER SINGH,M,38,GEN
HARBHAJAN SINGH RAJPOOT Ad.,M,60,GEN
Harbhajan Singh Virk,M,52,GEN
HARCHAND SINGH,M,55,SC
HARDEEP SINGH PURI,M,67,GEN
HAREKRISHNA SARKAR,M,46,SC
HARENDRA AGARWAL,M,68,GEN
Harendra Singh Malik,M,64,GEN
HARESH MANUBHAI SARDHARA,M,37,GEN
Haresh Sambhaji Bramhane,M,43,SC
HARESHBHAI BABUBHAI VEGAD (HARABHAI),M,35,GEN
HARI ARUMBIL,M,35,SC
HARI BHAI PATEL,M,42,GEN
HARI CHAND,M,62,SC
HARI LAL,M,38,SC
Hari Mitter,M,49,SC
Hari Om,M,47,GEN
HARI ORAWN,M,46,ST
HARI SINGH,M,57,GEN
Hari Singh,M,64,GEN
HARIBHAKTA SARDAR,M,63,SC
HARICHANDRA NAGOJI MANGAM,M,44,ST
Hariharan Dr R,M,42,GEN
HARIHARAN.K,M,36,GEN
HARILAL RABIDAS,M,43,SC
HARINARAYAN,M,78,GEN
Haripada Biswas,M,61,SC
Haripal Bairwa,M,50,SC
HARIRAM SHAKYA,M,81,GEN
HARISH CHANDRA ALIAS HARISH DWIVEDI,M,45,GEN
HARISH CHANDRA SAHU,M,50,GEN
HARISH HALLI,M,37,GEN
Harish Kumar,M,58,GEN
HARISH KUMAR DHAKAR,M,26,GEN
HARISH KUMAR LAHRI,M,61,GEN
HARISH KUMAR MANDWA,M,38,SC
Harish Rawat,M,71,GEN
Harishankar Shivpujan Yadav,M,48,GEN
HARISHCHANDRA DATTU PATIL,M,59,GEN
HARISINGH SIDAR,M,73,ST
HARJI LAL MEENA,M,39,ST
HARJINDER SINGH,M,27,SC
HARJINDER SINGH KAKA SRAN,M,49,GEN
HARJIT KAUR,F,31,SC
HARKA BAHADUR CHHETRI,M,62,GEN
HARKISOR KORI,M,60,SC
HARKRISHAN DAS NIJHAWAN,M,56,GEN
HARMANDER SINGH,M,37,SC
Harmesh Sharma,M,47,GEN
HARMOHAN DHAWAN,M,78,GEN
Harpal Singh,M,46,GEN
Harpal Singh,M,61,GEN
HARPREET SINGH,M,39,GEN
HARSH DEV SINGH,M,59,GEN
HARSH NATH VERMA,M,61,GEN
HARSH VARDHAN,M,64,GEN
HARSH VARDHAN SHUKLA,M,26,GEN
HARSHADKUMAR LAXMANBHAI SOLANKI,M,28,SC
HARSHVARDHAN RAMSURESH PANDEY,M,29,GEN
Harshwardhandada Raibhanji Jadhav,M,41,GEN
Harsimrat Kaur Badal,F,52,GEN
HARSWAROOP,M,58,SC
Harun Rasheed,M,45,GEN
HASAN RAZA,M,45,GEN
Haserul,M,43,GEN
Hashinabanu Tapalvale,F,55,GEN
HASIM AKHTAR,M,40,GEN
HASNAIN MASOODI,M,65,GEN
HATIRAM DURGA,M,60,SC
Hayithung Tungoe,M,38,ST
HEENA SHAHID,F,30,GEN
HEERA LAL SHANKHAVAR,M,69,GEN
HEM KANTA MIRI,M,37,ST
HEMA JHA,F,57,GEN
HEMA MALINI,F,70,GEN
Hemant Baburao Kolekar Patil,M,48,GEN
Hemant Baburao Kolekar Patil Alias Hemant Patil,M,48,GEN
HEMANT KISAN PATIL,M,45,GEN
Hemant Kumar,M,52,GEN
HEMANT KUMAR SINGHVI,M,44,GEN
Hemant Patil,M,48,GEN
HEMARAJ VEERAPUR,M,44,SC
HEMENDRA (BUNTY) GOHAR,M,38,SC
HEMENDRA PAL SINGH,M,39,GEN
HEMLAL MURMU,M,63,ST
Hemraj Paswan,M,66,SC
Hemraj Verma,M,43,GEN
Hena Shahab,F,46,GEN
HENRY,M,50,GEN
HERGOVIND MEENA,M,31,ST
HIBI EDEN,M,35,GEN
